Timestamp,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-3 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-4 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-2 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current
1648914883398,0
1648914883408,,0
1648914883418,,,0
1648914883427,,,,0
1648914883514,0,,,
1648914883522,,0,,
1648914883530,,,0,
1648914883539,,,,0
1648914883622,0,,,
1648914883630,,0,,
1648914883639,,,0,
1648914883648,,,,0
1648914883737,0,,,
1648914883744,,0,,
1648914883752,,,0,
1648914883760,,,,0
1648914883850,0,,,
1648914883856,,0,,
1648914883865,,,0,
1648914883874,,,,0
1648914883957,0,,,
1648914883967,,0,,
1648914883978,,,0,
1648914883985,,,,0
1648914884075,0,,,
1648914884084,,0,,
1648914884098,,,0,
1648914884108,,,,0
1648914884191,0,,,
1648914884199,,0,,
1648914884209,,,0,
1648914884217,,,,0
1648914884305,0,,,
1648914884312,,0,,
1648914884323,,,0,
1648914884332,,,,0
1648914884417,0,,,
1648914884427,,0,,
1648914884441,,,0,
1648914884461,,,,0
1648914884526,0,,,
1648914884540,,0,,
1648914884557,,,0,
1648914884573,,,,0
1648914884637,0,,,
1648914884647,,0,,
1648914884670,,,0,
1648914884681,,,,0
1648914884753,0,,,
1648914884763,,0,,
1648914884783,,,0,
1648914884791,,,,0.21875
1648914884866,0,,,
1648914884874,,0,,
1648914884894,,,0,
1648914884901,,,,0
1648914884979,0.3125,,,
1648914884988,,0.28125,,
1648914885004,,,0.34375,
1648914885013,,,,0.28125
1648914885090,0,,,
1648914885100,,0.125,,
1648914885120,,,0,
1648914885127,,,,0.21875
1648914885203,11.09375,,,
1648914885212,,0.65625,,
1648914885235,,,0.53125,
1648914885243,,,,25.90625
1648914885318,32.15625,,,
1648914885326,,0.1875,,
1648914885346,,,0.09375,
1648914885353,,,,33.34375
1648914885426,39.84375,,,
1648914885435,,10,,
1648914885456,,,11.4375,
1648914885472,,,,39.21875
1648914885533,44.65625,,,
1648914885547,,27.1875,,
1648914885562,,,25.59375,
1648914885586,,,,47.28125
1648914885641,50.125,,,
1648914885655,,32.90625,,
1648914885671,,,30.40625,
1648914885696,,,,58
1648914885752,59.84375,,,
1648914885763,,33.625,,
1648914885781,,,35.46875,
1648914885803,,,,64.8125
1648914885863,66.125,,,
1648914885873,,37.15625,,
1648914885892,,,41.40625,
1648914885912,,,,68.9375
1648914885976,73.28125,,,
1648914885987,,43.5,,
1648914886004,,,44.6875,
1648914886029,,,,79.03125
1648914886100,83.875,,,
1648914886109,,45.875,,
1648914886122,,,46.96875,
1648914886137,,,,88.59375
1648914886213,87.625,,,
1648914886222,,50.03125,,
1648914886233,,,53.90625,
1648914886253,,,,91.9375
1648914886329,93.53125,,,
1648914886337,,53.0625,,
1648914886348,,,55.40625,
1648914886365,,,,97.1875
1648914886441,97.34375,,,
1648914886449,,56.96875,,
1648914886460,,,60.34375,
1648914886484,,,,98.75
1648914886553,98.875,,,
1648914886561,,59.875,,
1648914886574,,,63.28125,
1648914886600,,,,99.9375
1648914886665,95.0625,,,
1648914886674,,69.90625,,
1648914886686,,,72.21875,
1648914886710,,,,100.875
1648914886775,105.0625,,,
1648914886784,,74.59375,,
1648914886797,,,83.5,
1648914886821,,,,114.21875
1648914886887,0,,,
1648914886896,,95.5,,
1648914886908,,,98.90625,
1648914886935,,,,0.375
1648914886997,63.78125,,,
1648914887006,,22.0625,,
1648914887018,,,86.9375,
1648914887049,,,,0
1648914887104,86.8125,,,
1648914887117,,0,,
1648914887130,,,0,
1648914887157,,,,30.71875
1648914887213,108.28125,,,
1648914887229,,39.3125,,
1648914887245,,,3.1875,
1648914887268,,,,44.21875
1648914887324,0,,,
1648914887347,,15.4375,,
1648914887357,,,56.53125,
1648914887379,,,,33.21875
1648914887434,29.59375,,,
1648914887455,,0,,
1648914887470,,,76.3125,
1648914887495,,,,0
1648914887546,58.375,,,
1648914887569,,84,,
1648914887584,,,55.90625,
1648914887609,,,,53.96875
1648914887653,71.21875,,,
1648914887681,,71.09375,,
1648914887697,,,57.90625,
1648914887719,,,,34.3125
1648914887761,26.375,,,
1648914887794,,0.125,,
1648914887810,,,0.3125,
1648914887829,,,,1.65625
1648914887870,0,,,
1648914887903,,0,,
1648914887921,,,0,
1648914887938,,,,0
1648914887986,0,,,
1648914888015,,0,,
1648914888031,,,0,
1648914888054,,,,0
1648914888094,0,,,
1648914888128,,0,,
1648914888138,,,0,
1648914888167,,,,0
1648914888203,0,,,
1648914888236,,0,,
1648914888252,,,0,
1648914888280,,,,0
1648914888313,0,,,
1648914888345,,0,,
1648914888361,,,0,
1648914888393,,,,0
1648914888419,0,,,
1648914888461,,0,,
1648914888473,,,0,
1648914888521,,,,0
1648914888532,0,,,
1648914888570,,0,,
1648914888583,,,0,
1648914888635,,,,0
1648914888645,0,,,
1648914888686,,0,,
1648914888695,,,0,
1648914888743,,,,0
1648914888761,0,,,
1648914888801,,0,,
1648914888810,,,0,
1648914888853,,,,0
1648914888870,0,,,
1648914888914,,0,,
1648914888924,,,0,
1648914888967,,,,0
1648914888983,0,,,
